ticket_text,category,priority
URGENT: How can I delete my account permanently? Thanks.,Account,Medium
URGENT: How do I change my profile picture? Get back to me.,General Query,Low
Question: I keep receiving spam emails from your service. Regards.,General Query,Medium
Question: My data is not syncing across devices.,Technical Issue,Medium
URGENT: How do I change my profile picture? Appreciate it.,General Query,Low
Fix this ASAP! The application crashes when I click on the dashboard. Thanks.,Technical Issue,High
URGENT: When is the next feature update coming out? Regards.,General Query,Low
Fix this ASAP! Can I pay using PayPal?,Billing,Low
URGENT: I want to upgrade my plan to premium. Get back to me.,Account,Medium
Question: I want to upgrade my plan to premium. Regards.,Account,Medium
"Hello, I forgot my password and the reset link is not arriving to my email.",Account,High
Please help. I have a problem with my invoice from last month. It seems I was charged twice. Regards.,Billing,High
Question: The mobile app is very slow after the last update.,Technical Issue,Medium
URGENT: How do I change my profile picture? Regards.,General Query,Low
Fix this ASAP! The application crashes when I click on the dashboard.,Technical Issue,High
Fix this ASAP! I need a refund for my subscription. Appreciate it.,Billing,Medium
"Hello, I have a problem with my invoice from last month. It seems I was charged twice.",Billing,High
Question: How can I delete my account permanently? Regards.,Account,Medium
Question: I keep receiving spam emails from your service.,General Query,Medium
Question: I forgot my password and the reset link is not arriving to my email. Regards.,Account,High
Fix this ASAP! The server is returning a 500 error when I try to upload a file. Regards.,Technical Issue,High
URGENT: The application crashes when I click on the dashboard. Thanks.,Technical Issue,High
"Hello, The application crashes when I click on the dashboard. Thanks.",Technical Issue,High
"Hello, Where can I find the documentation for the API? Thanks.",General Query,Low
Fix this ASAP! My credit card was declined but I have sufficient funds.,Billing,High
Question: The server is returning a 500 error when I try to upload a file. Thanks.,Technical Issue,High
URGENT: How can I delete my account permanently? Thanks.,Account,Medium
"Hi team, My data is not syncing across devices. Regards.",Technical Issue,Medium
Question: The application crashes when I click on the dashboard.,Technical Issue,High
Fix this ASAP! I have a problem with my invoice from last month. It seems I was charged twice. Thanks.,Billing,High
Question: I need a refund for my subscription. Appreciate it.,Billing,Medium
"Hi team, Where can I find the documentation for the API? Get back to me.",General Query,Low
"Hello, Can I pay using PayPal? Get back to me.",Billing,Low
Fix this ASAP! My account is locked and I cannot log in. Get back to me.,Account,High
Question: The server is returning a 500 error when I try to upload a file. Regards.,Technical Issue,High
"Hi team, I want to upgrade my plan to premium. Get back to me.",Account,Medium
URGENT: Where can I find the documentation for the API?,General Query,Low
URGENT: My data is not syncing across devices. Appreciate it.,Technical Issue,Medium
Please help. I keep receiving spam emails from your service. Appreciate it.,General Query,Medium
"Hi team, The mobile app is very slow after the last update. Get back to me.",Technical Issue,Medium
Please help. Can I pay using PayPal? Appreciate it.,Billing,Low
"Hi team, I forgot my password and the reset link is not arriving to my email. Get back to me.",Account,High
"Hi team, My credit card was declined but I have sufficient funds. Appreciate it.",Billing,High
URGENT: Can I pay using PayPal? Get back to me.,Billing,Low
"Hi team, I want to upgrade my plan to premium. Regards.",Account,Medium
Question: I keep receiving spam emails from your service. Get back to me.,General Query,Medium
URGENT: The mobile app is very slow after the last update.,Technical Issue,Medium
Question: I need a refund for my subscription.,Billing,Medium
URGENT: I forgot my password and the reset link is not arriving to my email. Appreciate it.,Account,High
"Hello, How do I change my profile picture? Appreciate it.",General Query,Low
"Hello, When is the next feature update coming out? Appreciate it.",General Query,Low
Please help. My account is locked and I cannot log in. Thanks.,Account,High
Please help. My credit card was declined but I have sufficient funds.,Billing,High
Question: My account is locked and I cannot log in. Get back to me.,Account,High
"Hello, The mobile app is very slow after the last update. Regards.",Technical Issue,Medium
URGENT: My data is not syncing across devices. Regards.,Technical Issue,Medium
"Hi team, My data is not syncing across devices. Regards.",Technical Issue,Medium
"Hi team, How do I change my profile picture? Regards.",General Query,Low
"Hi team, My account is locked and I cannot log in. Appreciate it.",Account,High
"Hello, I forgot my password and the reset link is not arriving to my email. Thanks.",Account,High
Fix this ASAP! How can I delete my account permanently?,Account,Medium
Question: I have a problem with my invoice from last month. It seems I was charged twice. Thanks.,Billing,High
Fix this ASAP! My account is locked and I cannot log in. Get back to me.,Account,High
"Hi team, How do I change my profile picture? Appreciate it.",General Query,Low
Please help. How can I delete my account permanently? Get back to me.,Account,Medium
URGENT: I need a refund for my subscription. Regards.,Billing,Medium
"Hello, The server is returning a 500 error when I try to upload a file. Appreciate it.",Technical Issue,High
Fix this ASAP! How do I change my profile picture?,General Query,Low
Question: Where can I find the documentation for the API? Get back to me.,General Query,Low
URGENT: I forgot my password and the reset link is not arriving to my email.,Account,High
"Hi team, My account is locked and I cannot log in. Regards.",Account,High
"Hi team, I have a problem with my invoice from last month. It seems I was charged twice. Thanks.",Billing,High
"Hi team, I want to upgrade my plan to premium. Thanks.",Account,Medium
"Hello, I have a problem with my invoice from last month. It seems I was charged twice.",Billing,High
Please help. My account is locked and I cannot log in. Get back to me.,Account,High
URGENT: When is the next feature update coming out? Get back to me.,General Query,Low
Fix this ASAP! How do I change my profile picture? Thanks.,General Query,Low
URGENT: My credit card was declined but I have sufficient funds. Regards.,Billing,High
Fix this ASAP! When is the next feature update coming out? Appreciate it.,General Query,Low
"Hi team, The application crashes when I click on the dashboard. Get back to me.",Technical Issue,High
"Hello, How can I delete my account permanently? Get back to me.",Account,Medium
Fix this ASAP! My credit card was declined but I have sufficient funds. Get back to me.,Billing,High
Question: I want to upgrade my plan to premium. Get back to me.,Account,Medium
Please help. The application crashes when I click on the dashboard.,Technical Issue,High
URGENT: When is the next feature update coming out?,General Query,Low
"Hello, How can I delete my account permanently? Thanks.",Account,Medium
Please help. I have a problem with my invoice from last month. It seems I was charged twice. Thanks.,Billing,High
URGENT: My data is not syncing across devices. Regards.,Technical Issue,Medium
"Hello, Can I pay using PayPal? Thanks.",Billing,Low
URGENT: I need a refund for my subscription. Thanks.,Billing,Medium
Question: My credit card was declined but I have sufficient funds. Regards.,Billing,High
"Hi team, The server is returning a 500 error when I try to upload a file. Get back to me.",Technical Issue,High
"Hi team, The mobile app is very slow after the last update. Thanks.",Technical Issue,Medium
URGENT: I have a problem with my invoice from last month. It seems I was charged twice. Appreciate it.,Billing,High
URGENT: How do I change my profile picture? Thanks.,General Query,Low
Please help. My data is not syncing across devices. Regards.,Technical Issue,Medium
Please help. My credit card was declined but I have sufficient funds. Appreciate it.,Billing,High
"Hi team, I forgot my password and the reset link is not arriving to my email. Thanks.",Account,High
Please help. The application crashes when I click on the dashboard.,Technical Issue,High
"Hi team, Can I pay using PayPal?",Billing,Low
"Hi team, I want to upgrade my plan to premium. Thanks.",Account,Medium
URGENT: Where can I find the documentation for the API?,General Query,Low
Please help. My data is not syncing across devices. Thanks.,Technical Issue,Medium
Question: When is the next feature update coming out?,General Query,Low
"Hi team, The server is returning a 500 error when I try to upload a file. Get back to me.",Technical Issue,High
Please help. Can I pay using PayPal? Thanks.,Billing,Low
Please help. I need a refund for my subscription. Thanks.,Billing,Medium
Question: Can I pay using PayPal? Get back to me.,Billing,Low
Fix this ASAP! Can I pay using PayPal? Appreciate it.,Billing,Low
"Hello, Can I pay using PayPal? Thanks.",Billing,Low
"Hello, Where can I find the documentation for the API? Get back to me.",General Query,Low
"Hello, The application crashes when I click on the dashboard. Appreciate it.",Technical Issue,High
URGENT: I have a problem with my invoice from last month. It seems I was charged twice. Appreciate it.,Billing,High
Fix this ASAP! I need a refund for my subscription. Regards.,Billing,Medium
Question: I need a refund for my subscription. Regards.,Billing,Medium
Question: Where can I find the documentation for the API? Get back to me.,General Query,Low
Please help. How do I change my profile picture? Thanks.,General Query,Low
"Hi team, My credit card was declined but I have sufficient funds. Thanks.",Billing,High
"Hi team, My data is not syncing across devices.",Technical Issue,Medium
URGENT: Where can I find the documentation for the API? Appreciate it.,General Query,Low
URGENT: Can I pay using PayPal?,Billing,Low
Question: Where can I find the documentation for the API? Thanks.,General Query,Low
"Hello, Can I pay using PayPal? Thanks.",Billing,Low
Fix this ASAP! The mobile app is very slow after the last update.,Technical Issue,Medium
Please help. The application crashes when I click on the dashboard.,Technical Issue,High
Fix this ASAP! My account is locked and I cannot log in.,Account,High
"Hi team, When is the next feature update coming out? Appreciate it.",General Query,Low
Question: Can I pay using PayPal? Get back to me.,Billing,Low
"Hello, I forgot my password and the reset link is not arriving to my email. Get back to me.",Account,High
"Hi team, Can I pay using PayPal?",Billing,Low
"Hi team, I want to upgrade my plan to premium. Get back to me.",Account,Medium
URGENT: The server is returning a 500 error when I try to upload a file. Regards.,Technical Issue,High
Please help. When is the next feature update coming out? Thanks.,General Query,Low
Please help. I forgot my password and the reset link is not arriving to my email. Regards.,Account,High
"Hi team, The server is returning a 500 error when I try to upload a file.",Technical Issue,High
Question: I forgot my password and the reset link is not arriving to my email.,Account,High
Please help. When is the next feature update coming out?,General Query,Low
"Hi team, I forgot my password and the reset link is not arriving to my email.",Account,High
Fix this ASAP! The mobile app is very slow after the last update. Appreciate it.,Technical Issue,Medium
"Hello, My data is not syncing across devices. Regards.",Technical Issue,Medium
URGENT: The mobile app is very slow after the last update. Get back to me.,Technical Issue,Medium
URGENT: I want to upgrade my plan to premium. Thanks.,Account,Medium
URGENT: When is the next feature update coming out?,General Query,Low
"Hello, How can I delete my account permanently? Regards.",Account,Medium
"Hello, When is the next feature update coming out? Regards.",General Query,Low
Fix this ASAP! My data is not syncing across devices. Thanks.,Technical Issue,Medium
Please help. My credit card was declined but I have sufficient funds. Regards.,Billing,High
"Hi team, The application crashes when I click on the dashboard.",Technical Issue,High
Please help. When is the next feature update coming out? Appreciate it.,General Query,Low
"Hi team, My account is locked and I cannot log in. Appreciate it.",Account,High
"Hello, I have a problem with my invoice from last month. It seems I was charged twice. Appreciate it.",Billing,High
"Hello, My account is locked and I cannot log in. Appreciate it.",Account,High
"Hi team, How can I delete my account permanently? Get back to me.",Account,Medium
Please help. The mobile app is very slow after the last update. Get back to me.,Technical Issue,Medium
Question: When is the next feature update coming out? Get back to me.,General Query,Low
"Hi team, My credit card was declined but I have sufficient funds. Thanks.",Billing,High
Please help. I want to upgrade my plan to premium.,Account,Medium
URGENT: I want to upgrade my plan to premium. Thanks.,Account,Medium
"Hello, I want to upgrade my plan to premium. Regards.",Account,Medium
Question: How do I change my profile picture? Appreciate it.,General Query,Low
URGENT: My credit card was declined but I have sufficient funds.,Billing,High
Please help. I keep receiving spam emails from your service.,General Query,Medium
Please help. Can I pay using PayPal?,Billing,Low
Fix this ASAP! I have a problem with my invoice from last month. It seems I was charged twice. Get back to me.,Billing,High
Fix this ASAP! My credit card was declined but I have sufficient funds. Appreciate it.,Billing,High
Please help. My credit card was declined but I have sufficient funds. Get back to me.,Billing,High
Please help. How can I delete my account permanently?,Account,Medium
Question: My credit card was declined but I have sufficient funds.,Billing,High
URGENT: The mobile app is very slow after the last update. Thanks.,Technical Issue,Medium
Please help. Where can I find the documentation for the API? Get back to me.,General Query,Low
"Hello, How can I delete my account permanently? Appreciate it.",Account,Medium
Question: I keep receiving spam emails from your service.,General Query,Medium
URGENT: I forgot my password and the reset link is not arriving to my email. Appreciate it.,Account,High
URGENT: My account is locked and I cannot log in. Appreciate it.,Account,High
Please help. My account is locked and I cannot log in. Thanks.,Account,High
Please help. How can I delete my account permanently?,Account,Medium
Fix this ASAP! How do I change my profile picture?,General Query,Low
URGENT: The mobile app is very slow after the last update. Thanks.,Technical Issue,Medium
"Hi team, The application crashes when I click on the dashboard. Get back to me.",Technical Issue,High
URGENT: The mobile app is very slow after the last update. Thanks.,Technical Issue,Medium
Fix this ASAP! How can I delete my account permanently? Regards.,Account,Medium
"Hello, The application crashes when I click on the dashboard. Appreciate it.",Technical Issue,High
Please help. I have a problem with my invoice from last month. It seems I was charged twice. Appreciate it.,Billing,High
URGENT: Where can I find the documentation for the API? Thanks.,General Query,Low
"Hi team, My data is not syncing across devices. Thanks.",Technical Issue,Medium
Question: I keep receiving spam emails from your service. Regards.,General Query,Medium
"Hello, I forgot my password and the reset link is not arriving to my email. Appreciate it.",Account,High
Question: The mobile app is very slow after the last update. Get back to me.,Technical Issue,Medium
Question: I keep receiving spam emails from your service. Regards.,General Query,Medium
"Hi team, The server is returning a 500 error when I try to upload a file. Thanks.",Technical Issue,High
URGENT: My credit card was declined but I have sufficient funds. Thanks.,Billing,High
"Hi team, How do I change my profile picture? Regards.",General Query,Low
Fix this ASAP! I keep receiving spam emails from your service. Regards.,General Query,Medium
Question: I want to upgrade my plan to premium. Thanks.,Account,Medium
Fix this ASAP! I forgot my password and the reset link is not arriving to my email. Appreciate it.,Account,High
"Hello, I need a refund for my subscription. Regards.",Billing,Medium
URGENT: I want to upgrade my plan to premium. Get back to me.,Account,Medium
Please help. The mobile app is very slow after the last update. Thanks.,Technical Issue,Medium
Fix this ASAP! The application crashes when I click on the dashboard. Get back to me.,Technical Issue,High
Please help. I want to upgrade my plan to premium. Thanks.,Account,Medium
Please help. The mobile app is very slow after the last update. Regards.,Technical Issue,Medium
Fix this ASAP! Can I pay using PayPal? Thanks.,Billing,Low
"Hello, My data is not syncing across devices. Regards.",Technical Issue,Medium
Fix this ASAP! Can I pay using PayPal? Get back to me.,Billing,Low
Question: My credit card was declined but I have sufficient funds. Appreciate it.,Billing,High
URGENT: The mobile app is very slow after the last update. Appreciate it.,Technical Issue,Medium
URGENT: I want to upgrade my plan to premium. Thanks.,Account,Medium
Please help. My account is locked and I cannot log in. Appreciate it.,Account,High
URGENT: Can I pay using PayPal? Thanks.,Billing,Low
"Hello, How do I change my profile picture? Get back to me.",General Query,Low
"Hello, My account is locked and I cannot log in. Thanks.",Account,High
Please help. Where can I find the documentation for the API? Regards.,General Query,Low
"Hi team, How can I delete my account permanently? Regards.",Account,Medium
"Hi team, I want to upgrade my plan to premium.",Account,Medium
Question: I have a problem with my invoice from last month. It seems I was charged twice. Appreciate it.,Billing,High
Please help. I keep receiving spam emails from your service. Thanks.,General Query,Medium
Please help. I want to upgrade my plan to premium. Get back to me.,Account,Medium
Question: Can I pay using PayPal? Regards.,Billing,Low
Fix this ASAP! The mobile app is very slow after the last update. Regards.,Technical Issue,Medium
Fix this ASAP! How can I delete my account permanently? Regards.,Account,Medium
URGENT: I need a refund for my subscription.,Billing,Medium
"Hi team, The server is returning a 500 error when I try to upload a file. Regards.",Technical Issue,High
Please help. Where can I find the documentation for the API? Get back to me.,General Query,Low
URGENT: The application crashes when I click on the dashboard. Thanks.,Technical Issue,High
Fix this ASAP! My account is locked and I cannot log in.,Account,High
Please help. I keep receiving spam emails from your service.,General Query,Medium
URGENT: The server is returning a 500 error when I try to upload a file. Get back to me.,Technical Issue,High
"Hello, I want to upgrade my plan to premium. Appreciate it.",Account,Medium
Please help. I need a refund for my subscription. Regards.,Billing,Medium
Fix this ASAP! How can I delete my account permanently?,Account,Medium
URGENT: Where can I find the documentation for the API? Appreciate it.,General Query,Low
Fix this ASAP! My data is not syncing across devices. Get back to me.,Technical Issue,Medium
URGENT: I need a refund for my subscription.,Billing,Medium
"Hello, I have a problem with my invoice from last month. It seems I was charged twice. Thanks.",Billing,High
"Hello, How do I change my profile picture? Thanks.",General Query,Low
Question: My credit card was declined but I have sufficient funds. Thanks.,Billing,High
Question: The mobile app is very slow after the last update. Thanks.,Technical Issue,Medium
Question: Can I pay using PayPal?,Billing,Low
"Hello, How can I delete my account permanently? Get back to me.",Account,Medium
"Hello, I keep receiving spam emails from your service. Regards.",General Query,Medium
URGENT: Where can I find the documentation for the API? Regards.,General Query,Low
"Hello, The server is returning a 500 error when I try to upload a file. Thanks.",Technical Issue,High
Fix this ASAP! My data is not syncing across devices. Thanks.,Technical Issue,Medium
Question: I have a problem with my invoice from last month. It seems I was charged twice.,Billing,High
Question: How do I change my profile picture? Get back to me.,General Query,Low
"Hello, How can I delete my account permanently? Appreciate it.",Account,Medium
"Hi team, The mobile app is very slow after the last update.",Technical Issue,Medium
Fix this ASAP! My credit card was declined but I have sufficient funds. Thanks.,Billing,High
Fix this ASAP! The server is returning a 500 error when I try to upload a file. Regards.,Technical Issue,High
Please help. Can I pay using PayPal? Thanks.,Billing,Low
Fix this ASAP! Where can I find the documentation for the API?,General Query,Low
Please help. I need a refund for my subscription. Thanks.,Billing,Medium
URGENT: Where can I find the documentation for the API?,General Query,Low
Question: How can I delete my account permanently?,Account,Medium
URGENT: My credit card was declined but I have sufficient funds. Regards.,Billing,High
Question: I want to upgrade my plan to premium. Get back to me.,Account,Medium
"Hi team, How do I change my profile picture? Thanks.",General Query,Low
Question: I forgot my password and the reset link is not arriving to my email. Appreciate it.,Account,High
Please help. Can I pay using PayPal? Appreciate it.,Billing,Low
Question: The mobile app is very slow after the last update. Regards.,Technical Issue,Medium
Fix this ASAP! I keep receiving spam emails from your service. Regards.,General Query,Medium
Please help. My credit card was declined but I have sufficient funds.,Billing,High
Please help. I forgot my password and the reset link is not arriving to my email. Regards.,Account,High
Fix this ASAP! The mobile app is very slow after the last update. Regards.,Technical Issue,Medium
"Hello, Can I pay using PayPal? Regards.",Billing,Low
Question: I want to upgrade my plan to premium. Regards.,Account,Medium
"Hello, My account is locked and I cannot log in. Get back to me.",Account,High
Fix this ASAP! I have a problem with my invoice from last month. It seems I was charged twice. Appreciate it.,Billing,High
URGENT: I want to upgrade my plan to premium. Regards.,Account,Medium
URGENT: How do I change my profile picture? Get back to me.,General Query,Low
Please help. I keep receiving spam emails from your service. Regards.,General Query,Medium
"Hello, I have a problem with my invoice from last month. It seems I was charged twice. Get back to me.",Billing,High
Question: Where can I find the documentation for the API? Get back to me.,General Query,Low
URGENT: I want to upgrade my plan to premium. Regards.,Account,Medium
Please help. I want to upgrade my plan to premium. Get back to me.,Account,Medium
URGENT: My account is locked and I cannot log in.,Account,High
"Hello, I need a refund for my subscription. Thanks.",Billing,Medium
URGENT: The mobile app is very slow after the last update. Thanks.,Technical Issue,Medium
Please help. I keep receiving spam emails from your service. Get back to me.,General Query,Medium
"Hello, When is the next feature update coming out? Appreciate it.",General Query,Low
"Hello, I want to upgrade my plan to premium. Get back to me.",Account,Medium
Fix this ASAP! I forgot my password and the reset link is not arriving to my email. Get back to me.,Account,High
Please help. Where can I find the documentation for the API? Regards.,General Query,Low
"Hello, My credit card was declined but I have sufficient funds. Regards.",Billing,High
"Hello, I need a refund for my subscription. Get back to me.",Billing,Medium
Question: The application crashes when I click on the dashboard. Appreciate it.,Technical Issue,High
Please help. How do I change my profile picture? Regards.,General Query,Low
"Hello, I forgot my password and the reset link is not arriving to my email. Appreciate it.",Account,High
Fix this ASAP! How do I change my profile picture? Thanks.,General Query,Low
Please help. I keep receiving spam emails from your service. Thanks.,General Query,Medium
"Hi team, My data is not syncing across devices. Regards.",Technical Issue,Medium
Please help. The mobile app is very slow after the last update. Thanks.,Technical Issue,Medium
Question: Where can I find the documentation for the API? Regards.,General Query,Low
"Hi team, I keep receiving spam emails from your service. Appreciate it.",General Query,Medium
Question: I forgot my password and the reset link is not arriving to my email. Regards.,Account,High
URGENT: The server is returning a 500 error when I try to upload a file. Get back to me.,Technical Issue,High
URGENT: The mobile app is very slow after the last update.,Technical Issue,Medium
Question: How do I change my profile picture? Get back to me.,General Query,Low
"Hello, I have a problem with my invoice from last month. It seems I was charged twice. Get back to me.",Billing,High
Please help. The server is returning a 500 error when I try to upload a file. Regards.,Technical Issue,High
"Hello, My account is locked and I cannot log in. Appreciate it.",Account,High
"Hi team, The mobile app is very slow after the last update.",Technical Issue,Medium
Fix this ASAP! I have a problem with my invoice from last month. It seems I was charged twice.,Billing,High
Fix this ASAP! The application crashes when I click on the dashboard. Regards.,Technical Issue,High
Fix this ASAP! My credit card was declined but I have sufficient funds.,Billing,High
Question: I keep receiving spam emails from your service. Thanks.,General Query,Medium
Question: I want to upgrade my plan to premium. Regards.,Account,Medium
"Hello, I need a refund for my subscription. Regards.",Billing,Medium
Question: How do I change my profile picture? Thanks.,General Query,Low
Fix this ASAP! I need a refund for my subscription. Get back to me.,Billing,Medium
Question: Where can I find the documentation for the API?,General Query,Low
"Hello, The application crashes when I click on the dashboard. Get back to me.",Technical Issue,High
Question: How can I delete my account permanently? Appreciate it.,Account,Medium
"Hi team, My data is not syncing across devices. Appreciate it.",Technical Issue,Medium
"Hello, When is the next feature update coming out? Get back to me.",General Query,Low
Please help. The mobile app is very slow after the last update. Appreciate it.,Technical Issue,Medium
"Hi team, The application crashes when I click on the dashboard. Appreciate it.",Technical Issue,High
"Hello, I have a problem with my invoice from last month. It seems I was charged twice. Regards.",Billing,High
Please help. My data is not syncing across devices. Thanks.,Technical Issue,Medium
Fix this ASAP! I want to upgrade my plan to premium. Thanks.,Account,Medium
URGENT: The application crashes when I click on the dashboard.,Technical Issue,High
"Hello, The mobile app is very slow after the last update. Appreciate it.",Technical Issue,Medium
Fix this ASAP! I want to upgrade my plan to premium. Appreciate it.,Account,Medium
URGENT: When is the next feature update coming out? Appreciate it.,General Query,Low
URGENT: How do I change my profile picture?,General Query,Low
"Hello, My data is not syncing across devices.",Technical Issue,Medium
"Hello, I need a refund for my subscription. Appreciate it.",Billing,Medium
URGENT: How do I change my profile picture? Get back to me.,General Query,Low
Question: I forgot my password and the reset link is not arriving to my email. Thanks.,Account,High
Fix this ASAP! I forgot my password and the reset link is not arriving to my email. Thanks.,Account,High
Please help. My credit card was declined but I have sufficient funds.,Billing,High
"Hello, I keep receiving spam emails from your service. Thanks.",General Query,Medium
URGENT: My credit card was declined but I have sufficient funds. Thanks.,Billing,High
"Hello, I need a refund for my subscription. Appreciate it.",Billing,Medium
Question: How can I delete my account permanently?,Account,Medium
"Hi team, The mobile app is very slow after the last update.",Technical Issue,Medium
Please help. I keep receiving spam emails from your service.,General Query,Medium
Fix this ASAP! The server is returning a 500 error when I try to upload a file. Regards.,Technical Issue,High
Question: The server is returning a 500 error when I try to upload a file. Regards.,Technical Issue,High
Please help. How can I delete my account permanently? Appreciate it.,Account,Medium
URGENT: When is the next feature update coming out? Get back to me.,General Query,Low
"Hi team, I forgot my password and the reset link is not arriving to my email. Get back to me.",Account,High
"Hi team, I want to upgrade my plan to premium. Get back to me.",Account,Medium
Question: My account is locked and I cannot log in. Appreciate it.,Account,High
Please help. I need a refund for my subscription. Thanks.,Billing,Medium
Fix this ASAP! When is the next feature update coming out? Regards.,General Query,Low
Please help. Where can I find the documentation for the API? Appreciate it.,General Query,Low
"Hi team, Where can I find the documentation for the API? Appreciate it.",General Query,Low
Fix this ASAP! When is the next feature update coming out? Regards.,General Query,Low
Question: The application crashes when I click on the dashboard.,Technical Issue,High
"Hello, How do I change my profile picture? Regards.",General Query,Low
"Hello, How do I change my profile picture? Thanks.",General Query,Low
URGENT: I forgot my password and the reset link is not arriving to my email. Appreciate it.,Account,High
"Hi team, How do I change my profile picture?",General Query,Low
Please help. I keep receiving spam emails from your service. Get back to me.,General Query,Medium
Question: My data is not syncing across devices. Get back to me.,Technical Issue,Medium
Fix this ASAP! I want to upgrade my plan to premium. Regards.,Account,Medium
Please help. My account is locked and I cannot log in. Regards.,Account,High
Question: The server is returning a 500 error when I try to upload a file. Get back to me.,Technical Issue,High
Question: How do I change my profile picture? Appreciate it.,General Query,Low
Please help. I have a problem with my invoice from last month. It seems I was charged twice. Thanks.,Billing,High
URGENT: My data is not syncing across devices. Get back to me.,Technical Issue,Medium
Fix this ASAP! I forgot my password and the reset link is not arriving to my email.,Account,High
"Hello, My account is locked and I cannot log in. Thanks.",Account,High
"Hi team, I forgot my password and the reset link is not arriving to my email. Get back to me.",Account,High
"Hello, When is the next feature update coming out? Thanks.",General Query,Low
"Hi team, The application crashes when I click on the dashboard. Regards.",Technical Issue,High
URGENT: I need a refund for my subscription. Appreciate it.,Billing,Medium
"Hello, My account is locked and I cannot log in. Thanks.",Account,High
URGENT: How do I change my profile picture? Regards.,General Query,Low
URGENT: Can I pay using PayPal? Get back to me.,Billing,Low
URGENT: I want to upgrade my plan to premium.,Account,Medium
Fix this ASAP! My data is not syncing across devices. Appreciate it.,Technical Issue,Medium
"Hello, When is the next feature update coming out? Regards.",General Query,Low
Fix this ASAP! My account is locked and I cannot log in. Thanks.,Account,High
"Hello, I forgot my password and the reset link is not arriving to my email. Get back to me.",Account,High
Please help. The application crashes when I click on the dashboard. Regards.,Technical Issue,High
URGENT: My account is locked and I cannot log in. Thanks.,Account,High
Please help. Where can I find the documentation for the API? Regards.,General Query,Low
Fix this ASAP! The server is returning a 500 error when I try to upload a file. Get back to me.,Technical Issue,High
"Hi team, Can I pay using PayPal? Appreciate it.",Billing,Low
Question: When is the next feature update coming out?,General Query,Low
Fix this ASAP! I forgot my password and the reset link is not arriving to my email. Thanks.,Account,High
Please help. I have a problem with my invoice from last month. It seems I was charged twice. Thanks.,Billing,High
Please help. The application crashes when I click on the dashboard.,Technical Issue,High
Question: I want to upgrade my plan to premium. Regards.,Account,Medium
Please help. I keep receiving spam emails from your service. Appreciate it.,General Query,Medium
URGENT: When is the next feature update coming out? Appreciate it.,General Query,Low
Please help. I forgot my password and the reset link is not arriving to my email. Regards.,Account,High
"Hello, I have a problem with my invoice from last month. It seems I was charged twice. Appreciate it.",Billing,High
"Hello, I keep receiving spam emails from your service. Thanks.",General Query,Medium
"Hi team, When is the next feature update coming out? Appreciate it.",General Query,Low
URGENT: How can I delete my account permanently? Get back to me.,Account,Medium
Question: The server is returning a 500 error when I try to upload a file.,Technical Issue,High
Question: I have a problem with my invoice from last month. It seems I was charged twice. Thanks.,Billing,High
"Hi team, I have a problem with my invoice from last month. It seems I was charged twice. Appreciate it.",Billing,High
URGENT: My data is not syncing across devices. Get back to me.,Technical Issue,Medium
Fix this ASAP! How can I delete my account permanently? Get back to me.,Account,Medium
Fix this ASAP! I forgot my password and the reset link is not arriving to my email.,Account,High
"Hi team, Where can I find the documentation for the API? Thanks.",General Query,Low
Please help. I keep receiving spam emails from your service. Get back to me.,General Query,Medium
